,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,description_lengths_cleaned,description_cleaned
3609,3620,Chile,smells perky  prickly and tart  with sharp plum and raspberry aromas  feels citrusy and pithy  with a cutting mouthfeel  and snappy flavors of berry and red plum  tastes rubbery and slightly bitter on the finish ,Hacienda Araucano Reserva,82,13,Central Valley,UNKNOWN,UNKNOWN,Michael Schachner,@wineschach,François Lurton 2011 Hacienda Araucano Reserva Pinot Noir (Central Valley),Pinot Noir,François Lurton,23,smell perki prickli tart sharp plum raspberri aroma feel citrusi pithi cut mouthfeel snappi flavor berri red plum tast rubberi slightli bitter finish
3687,3698,France,blanc de noirs  white champagne only from red grapes  produces wines with some weight  as here  it makes for a rich  full blooded champagne  packed with red fruits while also cut through with intense acidity  the fruitiness gains shape from a zesty texture ,Blanc de Noirs Brut,91,50,Champagne,Champagne,UNKNOWN,Roger Voss,@vossroger,Tendil & Lombardi NV Blanc de Noirs Brut Pinot Noir (Champagne),Pinot Noir,Tendil & Lombardi,27,blanc de noir white champagn red grape produc wine weight make rich full blood champagn pack red fruit also cut intens acid fruiti gain shape zesti textur
4025,4036,France,the wine is ripe  balanced and likely to be ready to drink soon  with its plump fruitiness and texture  it is a full wine  rich red berry fruits are gently balanced by acidity and supported with a light layer of tannins  it will be very drinkable from late      ,Charmes,88,32,Burgundy,Santenay,UNKNOWN,Roger Voss,@vossroger,Domaine Julie Belland 2014 Charmes  (Santenay),Pinot Noir,Domaine Julie Belland,25,wine ripe balanc like readi drink soon plump fruiti textur full wine rich red berri fruit gentli balanc acid support light layer tannin drinkabl late
4107,4122,France,this bone dry wine is made using pinot noir skins to give its salmon pink color  it is dry and tightly crisp  compared with the brut nature cuv e also made from pinot noir  the ripe red fruits give a fruity character that balances the dryness  like many really dry champagnes  it needs to age to soften the intensity of the acidity  so drink this bottling from      ,Rosé Brut Nature,90,60,Champagne,Champagne,UNKNOWN,Roger Voss,@vossroger,Drappier NV Rosé Brut Nature Pinot Noir (Champagne),Pinot Noir,Drappier,44,bone dri wine made use pinot noir skin give salmon pink color dri tightli crisp compar brut natur cuv e also made pinot noir ripe red fruit give fruiti charact balanc dryness like mani realli dri champagn need age soften intens acid drink bottl
4118,4133,US,strawberries  red currants and root beer come out at first  with cherry soda bringing up the rear  this forward  fresh and fruity wine is drinking well right now  and should be consumed through      ,Elton,90,55,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Willamette Valley Vineyards 2013 Elton Pinot Noir (Eola-Amity Hills),Pinot Noir,Willamette Valley Vineyards,19,strawberri red currant root beer come first cherri soda bring rear forward fresh fruiti wine drink well right consum
4125,4140,US,this chocolatey sexy wine tastes of cherries and sandalwood  with a strong dark chocolate note  a hint of pine needles comes out in the bouquet  and although it s already drinking well  it will surely improve with a few more years of bottle age ,West Hill,92,66,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Shea 2014 West Hill Pinot Noir (Willamette Valley),Pinot Noir,Shea,24,chocolatey sexi wine tast cherri sandalwood strong dark chocol note hint pine needl come bouquet although alreadi drink well sure improv year bottl age
4143,4158,US,black licorice and compost add life and breadth to this roundly tannic  richly layered wine  huckleberry and dark cherry give it a welcome fruitiness that s ripe and lush  as vanilla and cardamom complement the fruit ,Dry Farmed Estate,92,80,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Nicholson Ranch 2014 Dry Farmed Estate Pinot Noir (Sonoma Coast),Pinot Noir,Nicholson Ranch,23,black licoric compost add life breadth roundli tannic richli layer wine huckleberri dark cherri give welcom fruiti ripe lush vanilla cardamom complement fruit
4189,4204,France,produced by the cooperative of the hautes c tes  this wine is bright and fruity  it has light tannins and warm  red cherry character  with its acidity and structure it could age  although not for long  drink from      ,UNKNOWN,87,18,Burgundy,Bourgogne Hautes Côtes de Beaune,UNKNOWN,Roger Voss,@vossroger,Nuiton-Beaunoy 2015  Bourgogne Hautes Côtes de Beaune,Pinot Noir,Nuiton-Beaunoy,21,produc cooper haut c te wine bright fruiti light tannin warm red cherri charact acid structur could age although long drink
4213,4228,US,delicious and easy to drink  this is medium bodied and moderately fruity  with fresh spice and just baked bread aromas  a perfect house wine to keep in stock ,Winemaker's Blend,87,23,California,California,California Other,Jim Gordon,@gordone_cellars,Ghost Pines 2014 Winemaker's Blend Pinot Noir (California),Pinot Noir,Ghost Pines,17,delici easi drink medium bodi moder fruiti fresh spice bake bread aroma perfect hous wine keep stock
4307,4323,US,grown in the sebastopol hills area  this pinot tastes very young and jammy and immature  released at less than a year of age  it s thick and a little heavy  with cherry  currant and mocha flavors not yet meshed with oak  one wonders why the winery didn t hold it back another year or so  but it could develop in the bottle  try after      ,Umino Vineyard,89,48,California,Sonoma Coast,Sonoma,UNKNOWN,UNKNOWN,W.H. Smith 2007 Umino Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,W.H. Smith,34,grown sebastopol hill area pinot tast young jammi immatur releas less year age thick littl heavi cherri currant mocha flavor yet mesh oak one wonder wineri hold back anoth year could develop bottl tri
4385,4401,France,the wine is ripe and warm with generous red berry fruits and touches of spice  the wine is rounded  full of fruitiness with a layer of tannins that is nicely judged to give support and breadth to the fruit  drink from      ,Vieilles Vignes,88,31,Burgundy,Bourgogne Hautes Côtes de Nuits,UNKNOWN,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2015 Vieilles Vignes  (Bourgogne Hautes Côtes de Nuits),Pinot Noir,Jean-Luc and Paul Aegerter,22,wine ripe warm gener red berri fruit touch spice wine round full fruiti layer tannin nice judg give support breadth fruit drink
4468,4484,France,this wine comes from a four acre parcel of    year old vines  it has the concentration that is so special to old vines  that goes with the ripe red fruits and generous tannins that give the wine great richness  it is a young wine still even though so fruity and will be better to drink from      ,Vieilles Vignes,91,64,Burgundy,Volnay,UNKNOWN,Roger Voss,@vossroger,Domaine Henri Delagrange 2014 Vieilles Vignes  (Volnay),Pinot Noir,Domaine Henri Delagrange,30,wine come four acr parcel year old vine concentr special old vine goe ripe red fruit gener tannin give wine great rich young wine still even though fruiti better drink
4484,4500,South Africa,winemaker  jan coetzee  a prominent sanguine character rides atop the fruity scents of tart cherry  rhubarb and small white strawberry on the nose of this wine  a touch sharp and acidic on the palate  it offers soft tannins and tart cherry and currant flavors that are partnered with touches of bramble and game  drink now      ,Cape Winemakers Guild,89,23,Stellenbosch,UNKNOWN,UNKNOWN,Lauren Buzzeo,@laurbuzz,Vriesenhof 2013 Cape Winemakers Guild Pinot Noir (Stellenbosch),Pinot Noir,Vriesenhof,34,winemak jan coetze promin sanguin charact ride atop fruiti scent tart cherri rhubarb small white strawberri nose wine touch sharp acid palat offer soft tannin tart cherri currant flavor partner touch brambl game drink
4520,4536,US,tastes a little vegetal and simple  with cherry jam  asparagus and sweet oak flavors  not a success  and a particular disappointment compared to the winery s other      single vineyard pinots ,Ramal Vineyard,82,50,California,Carneros,Napa-Sonoma,UNKNOWN,UNKNOWN,Gary Farrell 2010 Ramal Vineyard Pinot Noir (Carneros),Pinot Noir,Gary Farrell,18,tast littl veget simpl cherri jam asparagu sweet oak flavor success particular disappoint compar wineri singl vineyard pinot
4671,4687,US,this medium bodied wine has a compelling blend of restraint and power  it offers modest  fruity aromas at first  then nice tart fruit flavors that start off lean and soon expand exponentially in the mouth before tapering off elegantly on the finish  with little oak flavor in the way  it gives pure pinot sophistication ,UNKNOWN,91,20,California,Anderson Valley,UNKNOWN,Jim Gordon,@gordone_cellars,Navarro 2014 Pinot Noir (Anderson Valley),Pinot Noir,Navarro,33,medium bodi wine compel blend restraint power offer modest fruiti aroma first nice tart fruit flavor start lean soon expand exponenti mouth taper elegantli finish littl oak flavor way give pure pinot sophist
4673,4689,US,another stunning deal on this annual bottling  this wine is jammy and fruity on the nose with buttered cherries and berry jam  yet layered with baking spice and wet clay minerality  dried strawberries  black cherries and plums show on the palate  enhanced by a toasted clove  graphite  juniper and forest floor mintiness ,Huntington,91,24,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Pali 2014 Huntington Pinot Noir (Santa Barbara County),Pinot Noir,Pali,35,anoth stun deal annual bottl wine jammi fruiti nose butter cherri berri jam yet layer bake spice wet clay miner dri strawberri black cherri plum show palat enhanc toast clove graphit junip forest floor minti
4904,4920,US,the dark garnet color seems right for a wine that smells like black cherries and black skinned plums  and tastes deep and rich  both the flavors and the texture seem shaped by subtly spicy oak  fine grained tannins add a velvety touch and the finish lingers ,Durell Vineyard Hayfield Block,91,48,California,Sonoma Coast,Sonoma,Jim Gordon,@gordone_cellars,Saxon Brown 2012 Durell Vineyard Hayfield Block Pinot Noir (Sonoma Coast),Pinot Noir,Saxon Brown,31,dark garnet color seem right wine smell like black cherri black skin plum tast deep rich flavor textur seem shape subtli spici oak fine grain tannin add velveti touch finish linger
5206,5230,France,still young and firm  this wine gives indications of potential fruitiness along with a structure that promises concentration  layers of black fruits and acidity need time to integrate fully with the dark structure and dense texture  wait to drink this wine for a few more years  at least until      ,UNKNOWN,91,104,Burgundy,Corton Les Renardes,UNKNOWN,Roger Voss,@vossroger,Domaine Maillard 2011  Corton Les Renardes,Pinot Noir,Domaine Maillard,29,still young firm wine give indic potenti fruiti along structur promis concentr layer black fruit acid need time integr fulli dark structur dens textur wait drink wine year least
5395,5419,France,this wine is fruity and ripe with fresh red berry fruits and layers of smoky tannins  those tannins will open up to give a rich  juicy and spicy wine from      ,UNKNOWN,88,43,Burgundy,Chorey-lès-Beaune,UNKNOWN,Roger Voss,@vossroger,Domaine Edmond Cornu 2014  Chorey-lès-Beaune,Pinot Noir,Domaine Edmond Cornu,17,wine fruiti ripe fresh red berri fruit layer smoki tannin tannin open give rich juici spici wine
5497,5521,Chile,rusty and light in color  with a dilute  stalky set of aromas  this thin pinot is dry  a touch bitter and largely fruitless on the flavor profile  a bland  lightly woody finish tastes stalky and not fully ripe ,Reserve,83,12,Maipo Valley,UNKNOWN,UNKNOWN,Michael Schachner,@wineschach,Tres Palacios 2014 Reserve Pinot Noir (Maipo Valley),Pinot Noir,Tres Palacios,24,rusti light color dilut stalki set aroma thin pinot dri touch bitter larg fruitless flavor profil bland lightli woodi finish tast stalki fulli ripe
5622,5646,US,retour relies on fruit sourced from so called  old vine  pinot vineyards  it s full  fleshy  round and brightly fruity  with plenty of spicy chocolate from extended barrel aging  some whole cluster fermentation and native yeasts contribute to the complexity  a very fine debut ,UNKNOWN,90,65,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Retour 2006 Pinot Noir (Willamette Valley),Pinot Noir,Retour,29,retour reli fruit sourc call old vine pinot vineyard full fleshi round brightli fruiti plenti spici chocol extend barrel age whole cluster ferment nativ yeast contribut complex fine debut
5781,5811,France,soft and full of red fruits  this is a simple  forward and immediately drinkable wine  with gentle tannins and light acidity  there are no complications here  just fruitiness ,Réserve,84,43,Burgundy,Bourgogne,UNKNOWN,Roger Voss,@vossroger,Nuiton-Beaunoy 2012 Réserve  (Bourgogne),Pinot Noir,Nuiton-Beaunoy,15,soft full red fruit simpl forward immedi drinkabl wine gentl tannin light acid complic fruiti
5797,5827,France,very light and fresh  this offers crisp red berry flavors  it s not quite dry  favoring fruitiness and acidity with a touch of sweetness to soften the crisp aftertaste ,Anne de K Brut Rosé,84,20,Alsace,Crémant d'Alsace,UNKNOWN,Roger Voss,@vossroger,Cave de Kientzheim-Kaysersberg NV Anne de K Brut Rosé Pinot Noir (Crémant d'Alsace),Pinot Noir,Cave de Kientzheim-Kaysersberg,17,light fresh offer crisp red berri flavor quit dri favor fruiti acid touch sweet soften crisp aftertast
5844,5874,France,ripe with a warm character  this wine has both bright red berry fruit and a rich  generous structure  its fruitiness shows that it s still young its acidity very much upfront  it will fill out and develop richness with time in bottle  drink from      ,UNKNOWN,88,40,Burgundy,Savigny-lès-Beaune,UNKNOWN,Roger Voss,@vossroger,Labouré-Roi 2015  Savigny-lès-Beaune,Pinot Noir,Labouré-Roi,24,ripe warm charact wine bright red berri fruit rich gener structur fruiti show still young acid much upfront fill develop rich time bottl drink
5846,5876,US,this is a light bodied  lightly textured wine from one of the producer s coolest sites  minty and herbal in a taste of forest floor and strawberry  citrus and pomegranate provide additional crispness and freshness on the palate ,La Masia Don Miguel Vineyard,88,47,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Marimar Estate 2014 La Masia Don Miguel Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Marimar Estate,22,light bodi lightli textur wine one produc coolest site minti herbal tast forest floor strawberri citru pomegran provid addit crisp fresh palat
